tcell_id,centroid_x,centroid_y,area_pixels,perimeter_pixels,major_axis_length_pixels,minor_axis_length_pixels,area_um2,perimeter_um,major_axis_length_um,minor_axis_length_um,solidity,eccentricity,circularity,aspect_ratio,roundness,closest_macro_1_id,closest_macro_1_morphology,closest_macro_1_distance_pixels,closest_macro_1_distance_um,closest_macro_1_area_pixels,closest_macro_1_area_um2,closest_macro_1_perimeter_pixels,closest_macro_1_perimeter_um,closest_macro_1_solidity,closest_macro_1_eccentricity,closest_macro_1_circularity,closest_macro_1_complexity,closest_macro_1_aspect_ratio,closest_macro_1_roundness,closest_macro_1_extent,closest_macro_2_id,closest_macro_2_morphology,closest_macro_2_distance_pixels,closest_macro_2_distance_um,closest_macro_2_area_pixels,closest_macro_2_area_um2,closest_macro_2_perimeter_pixels,closest_macro_2_perimeter_um,closest_macro_2_solidity,closest_macro_2_eccentricity,closest_macro_2_circularity,closest_macro_2_complexity,closest_macro_2_aspect_ratio,closest_macro_2_roundness,closest_macro_2_extent,closest_macro_3_id,closest_macro_3_morphology,closest_macro_3_distance_pixels,closest_macro_3_distance_um,closest_macro_3_area_pixels,closest_macro_3_area_um2,closest_macro_3_perimeter_pixels,closest_macro_3_perimeter_um,closest_macro_3_solidity,closest_macro_3_eccentricity,closest_macro_3_circularity,closest_macro_3_complexity,closest_macro_3_aspect_ratio,closest_macro_3_roundness,closest_macro_3_extent,closest_macro_4_id,closest_macro_4_morphology,closest_macro_4_distance_pixels,closest_macro_4_distance_um,closest_macro_4_area_pixels,closest_macro_4_area_um2,closest_macro_4_perimeter_pixels,closest_macro_4_perimeter_um,closest_macro_4_solidity,closest_macro_4_eccentricity,closest_macro_4_circularity,closest_macro_4_complexity,closest_macro_4_aspect_ratio,closest_macro_4_roundness,closest_macro_4_extent,closest_macro_5_id,closest_macro_5_morphology,closest_macro_5_distance_pixels,closest_macro_5_distance_um,closest_macro_5_area_pixels,closest_macro_5_area_um2,closest_macro_5_perimeter_pixels,closest_macro_5_perimeter_um,closest_macro_5_solidity,closest_macro_5_eccentricity,closest_macro_5_circularity,closest_macro_5_complexity,closest_macro_5_aspect_ratio,closest_macro_5_roundness,closest_macro_5_extent
1,231.04347826086956,28.78985507246377,414.0,75.94112549695427,24.84248416708596,21.446442810045557,50.714999999999996,26.579393923933992,8.694869458480085,7.5062549835159444,0.9517241379310345,0.5046961831082879,0.902103040067883,1.1583498665545453,0.8632970304338625,3,rod,4.166210468469794,1.4581736639644278,1546.0,189.38499999999996,171.39696961967,59.988939366884495,0.8869764773379232,0.836968291849657,0.6613221596970528,4.35911568072996,1.8273137854371932,0.5472513850491997,0.6895628902765388,2,artifact,71.13276399017485,24.896467396561196,61.0,7.472499999999999,48.82842712474619,17.089949493661166,0.8591549295774648,0.9955307825138351,0.32150981034733356,6.251839461083289,10.589002226100032,0.0944376040959908,0.782051282051282,4,rod,84.40844200995534,29.542954703484366,405.0,49.61249999999999,84.52691193458118,29.58441917710341,0.9529411764705882,0.7751489860402032,0.7123195784702058,4.200176022530261,1.582833270822092,0.6317784813056273,0.6661184210526315,1,hyperramified,98.89778229666246,34.614223803831855,83.0,10.167499999999999,42.48528137423857,14.869848480983498,0.9021739130434783,0.9562035092662297,0.5778444663290642,4.66336547049707,3.416436291022638,0.29270266289691915,0.7280701754385965,28,rod,121.89698794043754,42.66394577915314,135.0,16.537499999999998,42.970562748477136,15.039696961966996,0.9246575342465754,0.7479337484606253,0.918758880532334,3.698317197822506,1.50653825710146,0.663773385963642,0.7417582417582417
2,1821.0,51.0,23.0,15.313708498984761,6.014475292448898,4.86335007099463,2.8174999999999994,5.359797974644666,2.105066352357114,1.7021725248481205,1.0,0.5883484054145521,1.232471678482232,1.2366938848016846,0.8086075400626399,27,rod,12.04061163877075,4.214214073569762,1792.0,219.51999999999998,179.29646455628165,62.75376259469857,0.9082615306639635,0.7342113154122065,0.7004939960026495,4.2354808586520365,1.4729253892845815,0.6789210147879334,0.735632183908046,21,rod,53.91375790131787,18.869815265461256,306.0,37.48499999999999,68.87005768508881,24.10452018978108,0.9503105590062112,0.8560931916162788,0.8107190854078155,3.9370391505585665,1.9349040804045914,0.5168214849135563,0.7555555555555556,15,ameboid,68.86248160830823,24.101868562907878,241.0,29.522499999999997,58.97056274847714,20.639696961966997,0.964,0.7560445662544073,0.8708760800892547,3.7986278757017544,1.5278368665626678,0.654520140131062,0.8197278911564626,29,rod,74.19820973710394,25.969373407986378,901.0,110.37249999999999,119.7401153701776,41.90904037956216,0.9494204425711275,0.7275210136819761,0.7896875852643673,3.989121615594012,1.457544500337318,0.6860853989491031,0.6984496124031008,14,rod,122.10381809625386,42.73633633368885,1057.0,129.4825,141.25483399593904,49.43919189857866,0.9018771331058021,0.867323955625538,0.665699473014044,4.34476033974929,2.00906463135309,0.4977440667633014,0.7254632807137955
3,1961.6693121693122,59.957671957671955,378.0,75.94112549695427,25.41172502599758,19.28785755562619,46.30499999999999,26.579393923933992,8.894103759099153,6.7507501444691655,0.9130434782608695,0.6510741882882853,0.8236592974532846,1.3174985844182099,0.7590140982516401,23,rod,39.06563535376293,13.672972373817025,174.0,21.314999999999998,58.142135623730944,20.34974746830583,0.9830508474576272,0.9438348771957984,0.6468106358610662,4.40774392658497,3.026474078116387,0.3304175004275532,0.8365384615384616,29,rod,67.74323113232494,23.710130896313725,901.0,110.37249999999999,119.7401153701776,41.90904037956216,0.9494204425711275,0.7275210136819761,0.7896875852643673,3.989121615594012,1.457544500337318,0.6860853989491031,0.6984496124031008,27,rod,144.26090238629538,50.49131583520338,1792.0,219.51999999999998,179.29646455628165,62.75376259469857,0.9082615306639635,0.7342113154122065,0.7004939960026495,4.2354808586520365,1.4729253892845815,0.6789210147879334,0.735632183908046,21,rod,194.28495338897892,67.99973368614262,306.0,37.48499999999999,68.87005768508881,24.10452018978108,0.9503105590062112,0.8560931916162788,0.8107190854078155,3.9370391505585665,1.9349040804045914,0.5168214849135563,0.7555555555555556,15,ameboid,200.6065318392527,70.21228614373844,241.0,29.522499999999997,58.97056274847714,20.639696961966997,0.964,0.7560445662544073,0.8708760800892547,3.7986278757017544,1.5278368665626678,0.654520140131062,0.8197278911564626
4,712.9481915933529,91.47214076246334,1023.0,123.05382386916237,40.00585289510583,33.374036634627366,125.31749999999998,43.068838354206825,14.00204851328704,11.680912822119577,0.9542910447761194,0.5514183771272703,0.8489757201474484,1.1987118409763355,0.8342288495169221,37,ameboid,7.473932230591604,2.6158762807070612,262.0,32.095,58.04163056034261,20.31457069611991,0.9703703703703703,0.5288508001511333,0.9773091081425163,3.5858239112554964,1.1782520895188988,0.848714811452885,0.8111455108359134,26,hyperramified,39.70629652615449,13.89720378415407,1358.0,166.355,180.71067811865473,63.24873734152915,0.8823911630929174,0.9605179335103833,0.5225670266154959,4.903813338844254,3.5943027286183584,0.2782180788607079,0.5388888888888889,31,ramified,66.22610734432237,23.17913757051283,221.0,27.072499999999998,65.45584412271572,22.9095454429505,0.8435114503816794,0.9027128668445168,0.6481944107280537,4.403036554941429,2.324265145172813,0.4302435124825866,0.68,40,hyperramified,76.52758741246481,26.784655594362683,2718.0,332.955,286.2081528017131,100.17285348059957,0.7255739455419113,0.9343204044605454,0.41696088417899896,5.489809501506298,2.805566444648576,0.35643426015000673,0.4448445171849427,38,rod,86.96546149196405,30.437911522187417,745.0,91.26249999999999,113.49747468305831,39.72411613907041,0.9335839598997494,0.8331706288319866,0.7267645573269902,4.158225737959336,1.8082659246072819,0.5530160063250539,0.6663685152057245
5,917.9150943396227,282.9433962264151,106.0,40.970562748477136,17.23114439129834,8.138907196278764,12.984999999999998,14.339696961966997,6.030900536954419,2.848617518697567,0.954954954954955,0.8814180338075426,0.7935455687775086,2.1171324326165912,0.47233700858480876,88,rod,69.20107595902532,24.220376585658858,879.0,107.67749999999998,116.42640687119285,40.749242404917496,0.9680616740088106,0.8255929423015202,0.8148839237019441,3.9269652394647205,1.772213327394815,0.5642661549498771,0.7751322751322751,81,rod,70.89115238401486,24.811903334405198,54.0,6.614999999999999,27.071067811865476,9.474873734152915,0.9473684210526315,0.8626477206401942,0.9259613306162161,3.683905718408463,1.977045670921388,0.5058052096155964,0.8181818181818182,62,hyperramified,91.85737606103707,32.15008162136297,1988.0,243.52999999999997,254.1370849898476,88.94797974644666,0.7570449352627571,0.9156146306262316,0.3868032867925189,5.699803112096814,2.4872093947394722,0.40205702105943797,0.48725490196078436,72,rod,102.67269873510551,35.93544455728693,331.0,40.54749999999999,70.62741699796953,24.719595949289335,0.9650145772594753,0.641941832213056,0.8338562935388778,3.8820339265990564,1.304200383782406,0.7667533397742358,0.7662037037037037,56,ameboid,135.2188958115405,47.326613534039176,836.0,102.40999999999998,105.49747468305833,36.924116139070414,0.9789227166276346,0.5580063224340834,0.9439131002457809,3.6487064569808236,1.2050563722944543,0.8298366972625335,0.7961904761904762
6,87.69794721407625,313.0733137829912,341.0,118.5685424949238,30.123669272167295,20.342334322717644,41.772499999999994,41.49898987322333,10.543284245258553,7.119817012951175,0.7194092827004219,0.7375486150264196,0.3048072413271419,1.4808364071829347,0.6752940400096911,83,ameboid,6.174836237045055,2.161192682965769,931.0,114.04749999999999,113.98275605729688,39.89396462005391,0.9647668393782384,0.54174354423088,0.9004948581747837,3.735633947067712,1.1897059532165122,0.8405438312688783,0.7424242424242424,84,rod,50.044308304208876,17.515507906473104,1109.0,135.8525,143.4974746830583,50.224116139070404,0.8815580286168522,0.3996428461683243,0.6767883801036724,4.309019755554109,1.090904016175456,0.9166709308724047,0.6290414066931367,70,ameboid,50.297017489425144,17.6039561212988,257.0,31.482499999999995,59.21320343559643,20.72462120245875,0.9553903345724907,0.2336393876003145,0.9210980719505054,3.6936181480705526,1.0284644834871763,0.9723233189437298,0.79320987654321,71,rod,64.10605922502029,22.4371207287571,382.0,46.794999999999995,73.11269837220809,25.589444430272827,0.9526184538653366,0.6748488315875337,0.8980232928349661,3.7407710740492606,1.3550943459368772,0.7379559976752953,0.7579365079365079,90,rod,73.62442393452561,25.768548377083963,1513.0,185.34249999999997,154.42640687119282,54.049242404917486,0.9462163852407754,0.5393939778162524,0.7972704337784244,3.9701060017336376,1.187572965269965,0.8420535236524815,0.8254228041462083
7,57.4639175257732,379.77319587628864,97.0,42.384776310850235,15.454021030931914,9.413714510312484,11.882499999999999,14.83467170879758,5.40890736082617,3.294800078609369,0.8151260504201681,0.7930601175800462,0.6785186781381468,1.641649639364188,0.6091433738488199,90,rod,3.4874585323897582,1.2206104863364153,1513.0,185.34249999999997,154.42640687119282,54.049242404917486,0.9462163852407754,0.5393939778162524,0.7972704337784244,3.9701060017336376,1.187572965269965,0.8420535236524815,0.8254228041462083,83,ameboid,69.75840727228623,24.41544254530018,931.0,114.04749999999999,113.98275605729688,39.89396462005391,0.9647668393782384,0.54174354423088,0.9004948581747837,3.735633947067712,1.1897059532165122,0.8405438312688783,0.7424242424242424,84,rod,97.22570091371874,34.02899531980156,1109.0,135.8525,143.4974746830583,50.224116139070404,0.8815580286168522,0.3996428461683243,0.6767883801036724,4.309019755554109,1.090904016175456,0.9166709308724047,0.6290414066931367,93,rod,107.77013123158366,37.71954593105428,2139.0,262.0275,202.50966799187808,70.87838379715733,0.9304045237059592,0.8710328290466325,0.6554342400493212,4.378651385118326,2.0357278100557776,0.4912248067056669,0.5844262295081967,71,rod,112.86276021392312,39.50196607487309,382.0,46.794999999999995,73.11269837220809,25.589444430272827,0.9526184538653366,0.6748488315875337,0.8980232928349661,3.7407710740492606,1.3550943459368772,0.7379559976752953,0.7579365079365079
8,159.5,428.5,24.0,15.31370849898476,5.5377492419453835,5.5377492419453835,2.9399999999999995,5.359797974644666,1.938212234680884,1.938212234680884,1.0,0.0,1.2860574036336336,1.0,1.0,93,rod,14.68766677862544,5.140683372518904,2139.0,262.0275,202.50966799187808,70.87838379715733,0.9304045237059592,0.8710328290466325,0.6554342400493212,4.378651385118326,2.0357278100557776,0.4912248067056669,0.5844262295081967,100,hyperramified,58.46122112559999,20.461427393959994,986.0,120.78499999999998,207.29646455628165,72.55376259469857,0.6684745762711864,0.8587167085704446,0.2883387347726906,6.6016643222036455,1.9514076200653387,0.5124505970549182,0.5370370370370371,104,artifact,97.13198325481088,33.99619413918381,2539.0,311.0275,192.95331880577402,67.5336615820209,0.9709369024856597,0.6952650816970091,0.8569748154583653,3.829313320089105,1.3912977446203636,0.7187534112425842,0.8014520202020202,114,rod,104.0981160025684,36.43434060089894,314.0,38.464999999999996,68.2842712474619,23.899494936611664,0.9373134328358209,0.5655478872227164,0.846248972590656,3.853504360867646,1.212539415701728,0.8247154583599858,0.7120181405895691,84,rod,107.56514076044374,37.6477992661553,1109.0,135.8525,143.4974746830583,50.224116139070404,0.8815580286168522,0.3996428461683243,0.6767883801036724,4.309019755554109,1.090904016175456,0.9166709308724047,0.6290414066931367
9,787.9310344827586,466.58620689655174,29.0,17.414213562373096,6.728462016125951,5.500630044211441,3.5524999999999993,6.094974746830583,2.3549617056440826,1.925220515474004,1.0,0.5759048965827146,1.2017112572104822,1.2232166064697647,0.8175166971334915,102,hyperramified,18.923060386187675,6.623071135165686,922.0,112.94499999999998,170.05382386916236,59.51883835420682,0.7569786535303776,0.7816877461567113,0.40065261441590627,5.60042443120868,1.6034120637337066,0.6236699988843787,0.5567632850241546,116,rod,67.86782289715902,23.753738014005656,776.0,95.05999999999999,116.32590180780451,40.714065632731575,0.9023255813953488,0.8273899172987488,0.7206406051161363,4.175856513073957,1.7805382490539543,0.5616279237648086,0.6217948717948718,105,hyperramified,71.70875211114944,25.098063238902302,1045.0,128.0125,166.1959594928933,58.168585822512654,0.8544562551103843,0.8299718705162328,0.47542852171795985,5.141174158125314,1.7927403954347143,0.5578052475118764,0.5701036552100381,97,rod,98.95408765468558,34.63393067913995,346.0,42.38499999999999,68.87005768508881,24.10452018978108,0.9584487534626038,0.5460893351670167,0.9166954364415167,3.702477238808416,1.1937063781661899,0.8377269471712401,0.7863636363636364,115,ameboid,115.98560459091127,40.59496160681894,141.0,17.272499999999997,44.14213562373095,15.449747468305832,0.9657534246575342,0.8236083555395275,0.9093316245190134,3.7174384315503843,1.7631741449272915,0.5671589518692932,0.8294117647058823
10,540.7647058823529,479.3529411764706,34.0,21.899494936611664,9.186940231367458,5.065808220048035,4.164999999999999,7.6648232278140815,3.2154290809786104,1.7730328770168122,0.8717948717948718,0.8342316881144459,0.8908828184805876,1.8135191527799972,0.5514140826508893,101,hyperramified,53.656336856755196,18.779717899864316,2734.0,334.91499999999996,436.8772003600252,152.9070201260088,0.6093158012034767,0.976078653867132,0.1800070909184359,8.355263010144895,4.5994412832341345,0.21741771193931667,0.3278177458033573,123,hyperramified,81.75410966398515,28.6139383823948,287.0,35.1575,83.01219330881976,29.054267658086914,0.8441176470588235,0.9499672161586561,0.5233689857690549,4.9000548379000906,3.2015405815552676,0.3123496249778014,0.4302848575712144,132,hyperramified,118.18453449207855,41.36458707222749,314.0,38.464999999999996,83.698484809835,29.294469683442244,0.7949367088607595,0.7992306774384692,0.5632540459209467,4.723378756490749,1.6638259730122622,0.6010243957122252,0.5508771929824562,86,rod,158.92102059983966,55.62235720994388,1255.0,153.73749999999998,138.91168824543144,48.619090885901,0.9429000751314801,0.5244710074314199,0.8172896720779198,3.9211813338260404,1.1744970087329412,0.8514283072366525,0.7537537537537538,97,rod,170.44104650087885,59.654366275307595,346.0,42.38499999999999,68.87005768508881,24.10452018978108,0.9584487534626038,0.5460893351670167,0.9166954364415167,3.702477238808416,1.1937063781661899,0.8377269471712401,0.7863636363636364
11,1926.7095238095237,505.9238095238095,210.0,67.35533905932738,21.498739615910267,14.246114158725378,25.724999999999998,23.57436867076458,7.524558865568593,4.986139955553882,0.8366533864541833,0.7489302761717914,0.5816813042570917,1.5090949978624764,0.6626488070111077,106,ramified,1.447843913738906,0.5067453698086171,1950.0,238.87499999999997,278.82947314527274,97.59031560084546,0.7006827164929932,0.49416641984816506,0.31518614548006096,6.314244177700593,1.1502617694323312,0.8693673271376416,0.560183855214019,127,rod,51.35130327722305,17.972956147028068,110.0,13.474999999999998,40.970562748477136,14.339696961966997,0.9166666666666666,0.8444079932214097,0.8234906845804335,3.906389884101202,1.8667143285103798,0.5357006076007305,0.6875,98,rod,68.39026027075863,23.936591094765518,976.0,119.55999999999999,121.1543289325507,42.40401512639274,0.9644268774703557,0.761543005187016,0.8355680183741616,3.878055566721895,1.5429375259206448,0.6481143813021962,0.7134502923976608,128,rod,72.79569486847677,25.47849320396687,1306.0,159.98499999999999,144.95331880577405,50.733661582020915,0.9295373665480428,0.6537269536516997,0.7810821524896008,4.011036137710005,1.3214743982880646,0.7567305135048199,0.6500746640119462,94,rod,102.95171392523275,36.03309987383146,411.0,50.3475,80.52691193458118,28.18441917710341,0.9174107142857143,0.7519130918289837,0.7964703185774633,3.97209963835641,1.5168470722154073,0.6592622409452692,0.685
12,232.5,515.5,24.0,15.31370849898476,5.5377492419453835,5.5377492419453835,2.9399999999999995,5.359797974644666,1.938212234680884,1.938212234680884,1.0,0.0,1.2860574036336336,1.0,1.0,104,artifact,16.88864547217621,5.911025915261674,2539.0,311.0275,192.95331880577402,67.5336615820209,0.9709369024856597,0.6952650816970091,0.8569748154583653,3.829313320089105,1.3912977446203636,0.7187534112425842,0.8014520202020202,108,hyperramified,48.39098825339926,16.93684588868974,128.0,15.679999999999998,61.970562748477136,21.689696961966995,0.7032967032967034,0.9565665288680766,0.41884077427733885,5.477475644174329,3.43036569592833,0.291514109177033,0.3710144927536232,111,rod,72.29360238484297,25.30276083469504,750.0,91.87499999999999,111.39696961966999,38.988939366884495,0.9101941747572816,0.5055201699667787,0.7594940467520842,4.067642206560729,1.1589972892610012,0.8628147876321773,0.6122448979591836,139,ameboid,96.15138007654909,33.65298302679218,64.0,7.839999999999999,27.071067811865476,9.474873734152915,0.9846153846153847,0.4333747407394465,1.0974356511007006,3.3838834764831844,1.1096145966786624,0.9012138115281065,0.8888888888888888,99,rod,103.72098979316726,36.30234642760854,1195.0,146.3875,146.22539674441617,51.178888860545655,0.9129106187929718,0.7335670903229027,0.7023153370011678,4.229985276793858,1.4714168979941755,0.6796170421606497,0.7172869147659063
13,896.7407407407408,520.5925925925926,27.0,16.485281374238568,6.025659376849024,5.679488253754415,3.3074999999999997,5.769848480983498,2.1089807818971584,1.9878208888140452,0.9642857142857143,0.33406370115253914,1.2484780172022165,1.060951111724859,0.9425504992159661,115,ameboid,8.548193850341843,2.9918678476196447,141.0,17.272499999999997,44.14213562373095,15.449747468305832,0.9657534246575342,0.8236083555395275,0.9093316245190134,3.7174384315503843,1.7631741449272915,0.5671589518692932,0.8294117647058823,105,hyperramified,49.7931530875344,17.42760358063704,1045.0,128.0125,166.1959594928933,58.168585822512654,0.8544562551103843,0.8299718705162328,0.47542852171795985,5.141174158125314,1.7927403954347143,0.5578052475118764,0.5701036552100381,124,rod,69.82664964062349,24.43932737421822,676.0,82.80999999999999,110.66904755831213,38.734166645409246,0.9234972677595629,0.6556189153682457,0.6935922236305877,4.256501829165851,1.3243420397739638,0.7550919399724547,0.6057347670250895,137,rod,88.17582191642536,30.861537670748874,589.0,72.15249999999999,93.25483399593904,32.63919189857866,0.9639934533551555,0.7867507921705328,0.8511036483010479,3.842498493826598,1.6200346184762369,0.6172707598931277,0.7037037037037036,130,rod,102.23852779179913,35.78348472712969,1497.0,183.38249999999996,165.53910524340094,57.938686835190325,0.9246448424953675,0.8585045327833725,0.6864840599527194,4.278481941683031,1.9500552846155084,0.5128059742148129,0.6253132832080202
14,1896.2820512820513,524.4230769230769,78.0,30.97056274847714,11.549716812087283,8.64725284304377,9.554999999999998,10.839696961966999,4.042400884230549,3.0265384950653194,0.9512195121951219,0.662910944513173,1.0218949976689091,1.3356515672348337,0.7486982567394244,106,ramified,34.28891025874711,12.001118590561488,1950.0,238.87499999999997,278.82947314527274,97.59031560084546,0.7006827164929932,0.49416641984816506,0.31518614548006096,6.314244177700593,1.1502617694323312,0.8693673271376416,0.560183855214019,127,rod,45.9606119853199,16.086214194861963,110.0,13.474999999999998,40.970562748477136,14.339696961966997,0.9166666666666666,0.8444079932214097,0.8234906845804335,3.906389884101202,1.8667143285103798,0.5357006076007305,0.6875,98,rod,73.57046319642207,25.74966211874772,976.0,119.55999999999999,121.1543289325507,42.40401512639274,0.9644268774703557,0.761543005187016,0.8355680183741616,3.878055566721895,1.5429375259206448,0.6481143813021962,0.7134502923976608,128,rod,75.31986706980508,26.36195347443178,1306.0,159.98499999999999,144.95331880577405,50.733661582020915,0.9295373665480428,0.6537269536516997,0.7810821524896008,4.011036137710005,1.3214743982880646,0.7567305135048199,0.6500746640119462,146,rod,105.01053608576797,36.75368763001879,156.0,19.109999999999996,53.798989873223334,18.829646455628165,0.8715083798882681,0.746225881925958,0.6773080221095685,4.307366462488916,1.5021943561435909,0.6656928219109969,0.5777777777777778
