label,area,perimeter,solidity,eccentricity,centroid_y,centroid_x
1,414.0,75.94112549695427,0.9517241379310345,0.5046961831082879,28.78985507246377,231.04347826086956
2,23.0,15.313708498984761,1.0,0.5883484054145521,51.0,1821.0
3,378.0,75.94112549695427,0.9130434782608695,0.6510741882882853,59.957671957671955,1961.6693121693122
4,1023.0,123.05382386916237,0.9542910447761194,0.5514183771272703,91.47214076246334,712.9481915933529
5,106.0,40.970562748477136,0.954954954954955,0.8814180338075426,282.9433962264151,917.9150943396227
6,341.0,118.5685424949238,0.7194092827004219,0.7375486150264196,313.0733137829912,87.69794721407625
7,97.0,42.384776310850235,0.8151260504201681,0.7930601175800462,379.77319587628864,57.4639175257732
8,24.0,15.31370849898476,1.0,0.0,428.5,159.5
9,29.0,17.414213562373096,1.0,0.5759048965827146,466.58620689655174,787.9310344827586
10,34.0,21.899494936611664,0.8717948717948718,0.8342316881144459,479.3529411764706,540.7647058823529
11,210.0,67.35533905932738,0.8366533864541833,0.7489302761717914,505.9238095238095,1926.7095238095237
12,24.0,15.31370849898476,1.0,0.0,515.5,232.5
13,27.0,16.485281374238568,0.9642857142857143,0.33406370115253914,520.5925925925926,896.7407407407408
14,78.0,30.97056274847714,0.9512195121951219,0.662910944513173,524.4230769230769,1896.2820512820513
15,72.0,31.899494936611664,0.935064935064935,0.7632302858318137,545.8055555555555,1996.1666666666667
16,277.0,87.59797974644667,0.7824858757062146,0.6945624447403467,558.1768953068593,1652.552346570397
17,30.0,17.31370849898476,1.0,0.4541475531146237,556.5,808.0
18,28.0,17.071067811865476,0.9333333333333333,0.49384890540538456,570.3928571428571,1946.1785714285713
19,110.0,40.04163056034262,0.9166666666666666,0.8016527972172812,594.1090909090909,750.6727272727272
20,377.0,93.74011537017762,0.8004246284501062,0.6952987222932469,617.8541114058355,1898.8885941644562
21,262.0,88.42640687119285,0.7257617728531855,0.9123401046613181,627.8740458015267,1168.8435114503816
22,30.0,17.65685424949238,0.9375,0.3420494006638243,625.3333333333334,1082.5
23,409.0,85.01219330881975,0.8814655172413793,0.6206676970617282,637.2567237163814,151.92909535452324
24,309.0,98.91168824543142,0.744578313253012,0.7454939966375249,640.5631067961165,1194.5857605177994
25,40.0,22.485281374238568,0.9302325581395349,0.8414201973525129,637.2,1142.025
26,94.0,43.21320343559643,0.8103448275862069,0.8978062582447796,653.4042553191489,665.4574468085107
27,30.0,18.242640687119284,1.0,0.6713171133426188,666.1333333333333,1931.1333333333334
28,30.0,17.31370849898476,1.0,0.4541475531146237,671.0,1182.5
29,215.0,54.62741699796952,0.9429824561403509,0.724471929675619,678.8232558139534,842.2976744186046
30,24.0,15.31370849898476,1.0,0.0,673.5,1256.5
31,27.0,16.48528137423857,1.0,0.6308919807368173,673.1851851851852,1916.8148148148148
32,110.0,48.2842712474619,0.8148148148148148,0.9474390408641243,705.8,1452.2636363636364
33,46.0,24.242640687119284,0.9387755102040817,0.7231420297036096,713.8695652173913,1380.7391304347825
34,27.0,16.485281374238568,0.9642857142857143,0.3340637011525398,722.2592592592592,1871.4074074074074
35,243.0,82.59797974644665,0.7617554858934169,0.5152713998037508,760.0576131687243,518.8765432098766
36,186.0,69.18376618407358,0.7560975609756098,0.9021952807626824,798.5752688172043,1616.021505376344
37,142.0,42.970562748477136,0.9466666666666667,0.5995882650864477,794.7042253521126,1906.9929577464789
38,26.0,15.899494936611665,1.0,0.4760065949973937,847.6538461538462,1573.6538461538462
39,24.0,15.31370849898476,1.0,0.0,865.5,1076.5
40,54.0,23.899494936611664,1.0,0.3686941782006208,882.6111111111111,675.3888888888889
41,32.0,17.899494936611664,1.0,0.5344883724417774,883.15625,1091.375
42,31.0,18.242640687119284,0.9393939393939394,0.4035175595819058,897.5806451612904,669.3225806451613
43,36.0,19.65685424949238,0.972972972972973,0.6488400644580995,900.25,685.9166666666666
44,509.0,87.01219330881976,0.9585687382297552,0.6897309812291776,911.3143418467583,986.8978388998036
45,185.0,51.45584412271571,0.9343434343434344,0.6749602052113252,965.6216216216217,1015.8432432432433
46,68.0,29.556349186104043,0.8947368421052632,0.569778917413709,981.2058823529412,1351.485294117647
47,201.0,59.698484809834994,0.8854625550660793,0.734843299183268,995.4427860696518,1752.1044776119404
48,715.0,105.25483399593904,0.9432717678100264,0.7485182885009798,1028.5230769230768,1746.641958041958
49,114.0,46.04163056034261,0.8571428571428571,0.923709057446126,1044.6754385964912,1096.561403508772
50,548.0,100.18376618407358,0.8726114649681529,0.7410926682561467,1055.742700729927,1116.1642335766423
51,34.0,20.485281374238568,0.8947368421052632,0.7839757267921855,1050.7058823529412,1282.3235294117646
52,26.0,15.65685424949238,1.0,0.5440588203494177,1050.5,1236.0
53,37.0,20.48528137423857,0.925,0.5868415240855687,1095.6216216216217,1383.6216216216217
54,87.0,32.14213562373095,0.9560439560439561,0.5448991381893503,1138.2758620689656,422.01149425287355
55,27.0,18.449747468305834,0.9310344827586207,0.9044438156647184,1147.2222222222222,1997.888888888889
56,139.0,41.79898987322333,0.952054794520548,0.38381945115764216,1453.978417266187,580.6115107913669
57,661.0,94.42640687119285,0.9706314243759178,0.4864088284640268,1591.5839636913768,1115.8063540090773
58,288.0,60.8700576850888,0.9696969696969697,0.5032162394509645,1767.079861111111,804.7395833333334
59,1128.0,135.29646455628165,0.9322314049586777,0.48114583867525645,1841.2517730496454,825.2030141843971
60,805.0,105.49747468305831,0.9675480769230769,0.4559563407400495,1844.5739130434783,551.1068322981366
61,334.0,85.01219330881976,0.8652849740932642,0.7334801752750494,1883.8443113772455,1541.494011976048
